DK_JS,DK_SS,DK_NAME,DK_BRIEF_NAME,EVENT_GUBUN,EVENT_NAME,RENT_START_YMD,RENT_END_YMD,DK_DAY,SIN_PERSON,JS_PERSON,PLAN_YN,IO_GUBUN
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,2015 박진영(JYP) 나쁜파티 콘서트,20151221,20151228,8,12800,,N,내부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,2015 바이브 단독 콘서트,20151216,20151221,6,7400,,N,내부
1,31,몽촌해자수변무대B,몽촌해자B,공공행사,제6회 대한민국 국제관악제 & 관악의 한마당,20150912,20150912,1,1000,500,N,외부
1,9,올림픽홀,올림픽홀,대중공연,YG 트레저 콘서트,20220404,20220410,7,6000,4298,N,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,2015 뮤즈인시티 페스티벌,20150604,20150606,3,8000,0,Y,내부
1,7,우리금융아트홀,제3체육관,대중공연,송파 한성백제 대표창작뮤지컬 '백제의서(매의아들)',20161003,20161106,35,32000,,N,내부
1,3,KSPO DOME(체조경기장),제1체육관,공공행사,민주평화통일자문회의 제17기 출범회의,20150629,20150701,3,12000,10000,N,내부
1,7,우리금융아트홀,제3체육관,대중공연,송파 한성백제 대표창작뮤지컬 &quot;매의 아들(구>백제의 서),20161003,20161106,35,32000,,N,내부
1,10,뮤즈라이브,뮤즈라이브,문화예술행사,K-루키즈 오디션 (한국콘텐츠진흥원),20150731,20150731,1,150,,N,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,2016 뮤즈인시티 페스티벌,20160607,20160613,7,9500,,N,내부
1,21,88잔디마당,88잔디마당,문화예술행사,Extreme Fire Festival 익스트림 파이어 페스티벌,20160418,20160425,8,21500,,N,외부
1,10,뮤즈라이브,뮤즈라이브,문화예술행사,실크앙상블 창단 공연,20191228,20191228,1,150,,N,내부
1,9,올림픽홀,올림픽홀,대중공연,2015 FTISLAND CONCERT WE WILL,20150806,20150810,5,3000,4090,N,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,NEYO  2015. KOREA TOUR “LIVE IN SEOUL,20150702,20150705,4,8000,,N,내부
1,9,올림픽홀,올림픽홀,대중공연,출산장려프로젝트-19禁 콘서트,20150926,20150926,1,3400,,N,내부
1,9,올림픽홀,올림픽홀,대중공연,핑크마티니 내한공연,20150407,20150408,2,3000,1790,N,내부
1,33,88호수수변무대,88호수,공공행사,5월 문화가 있는 날 대중음악 라이브 공연,20150526,20150527,2,0,800,N,외부
1,2,핸드볼보조경기장,핸드볼보조경기장,공공행사,송파구청장기 배드민턴대회,20150412,20150412,1,1300,,N,내부
1,9,올림픽홀,올림픽홀,대중공연,스크립트 내한공연,20150414,20150416,3,,2290,N,내부
1,7,우리금융아트홀,제3체육관,대중공연,뮤지컬 [백제의 서],20150912,20151202,82,26000,,,내부
1,10,뮤즈라이브,뮤즈라이브,문화예술행사,cfive 콘서트,20151112,20151112,1,0,,N,내부
1,9,올림픽홀,올림픽홀,대중공연,2016 데이빗 가렛 내한공연(David Garrett Live in Korea),20160605,20160606,2,2500,,N,내부
1,9,올림픽홀,올림픽홀,대중공연,2016 에프엑스 f(x) 첫번째 콘서트,20160126,20160201,7,8000,8450,N,내부
1,5,핸드볼경기장,핸드볼경기장,공공행사,제28회 강동구청장기 생활체육 배드민턴대회,20160522,20160522,1,0,,N,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,조장혁콘서트,20151114,20151114,1,6000,5837,N,내부
1,2,핸드볼보조경기장,핸드볼보조경기장,체육행사,2015 빅터코리아오픈배드민턴시리즈,20150913,20150920,8,,7525,N,내부
1,2,핸드볼보조경기장,핸드볼보조경기장,체육행사,2015 9월 국내핸드볼팀 훈련,20150901,20150930,15,780,280,N,내부
1,9,올림픽홀,올림픽홀,대중공연,2015 SG원너비 단독콘서트,20151007,20151011,5,4900,4900,N,내부
1,33,88호수수변무대,88호수,문화예술행사,그라시아스합창단 후원자를 공연,20151020,20151020,1,300,300,N,외부
1,9,올림픽홀,올림픽홀,대중공연,AOMG 단독 콘서트,20170209,20170212,4,5300,6245,N,내부
1,8,K-아트홀,K-아트홀,대중공연,APRIL 쇼케이스,20170103,20170104,2,300,510,N,내부
1,5,핸드볼경기장,핸드볼경기장,공공행사,4th CMS Brunch Seminar,20170529,20170530,2,3500,2400,N,내부
1,7,우리금융아트홀,제3체육관,문화예술행사,모래야놀자,20170101,20170131,,,1566,Y,내부
1,9,올림픽홀,올림픽홀,대중공연,2017 거미 앨범발매 기념 콘서트 (가제),20170624,20170625,4,5000,,N,내부
1,9,올림픽홀,올림픽홀,대중공연,2017 황치열 첫번째 단독 콘서트,20170624,20170625,6,6400,,N,내부
1,7,우리금융아트홀,제3체육관,대중공연,국민사랑콘서트,20170602,20170603,2,1000,800,N,내부
1,7,우리금융아트홀,제3체육관,문화예술행사,모래야 놀자,20170201,20170228,,,2374,Y,내부
1,9,올림픽홀,올림픽홀,대중공연,2017 거미 앨범발매 기념 콘서트 (가제),20170610,20170611,4,5000,3280,N,내부
1,9,올림픽홀,올림픽홀,대중공연,아스트로 첫 단독콘서트 (가제),20170715,20170716,6,3300,4132,N,내부
1,9,올림픽홀,올림픽홀,대중공연,"내 생애 가장 아름다운 순간, 옴니버스 콘서트 #시즌1 노래 (가제)",20180530,20180602,4,4200,,N,내부
1,7,우리금융아트홀,제3체육관,대중공연,가족뮤지컬 <레이디버그>,20181107,20181202,26,25120,0,N,내부
1,7,우리금융아트홀,제3체육관,대중공연,김용임&진성 SHOW - 오늘이 젊은날·보릿고개,20180311,20180311,1,1000,1351,N,내부
1,37,기타,기타,공공행사,제 7회 전국학교예술교육페스티벌,20171016,20171019,4,0,,N,외부
1,8,K-아트홀,K-아트홀,대중공연,SF9 쇼케이스,20171012,20171012,1,300,330,N,내부
1,9,올림픽홀,올림픽홀,문화예술행사,2018 정용화 단독 콘서트,20180120,20180121,4,3000,4540,N,내부
1,21,88잔디마당,88잔디마당,문화예술행사,2018 팬텀싱어 페스티벌,20180609,20180610,8,12000,5185,N,외부
1,10,뮤즈라이브,뮤즈라이브,문화예술행사,김규종콘서트,20171216,20171225,10,0,603,N,내부
1,5,핸드볼경기장,핸드볼경기장,체육행사,2018 피셔 잠스트 배드민턴코리아 슈퍼토너먼트,20180406,20180408,3,0,650,N,내부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,뷰티풀 민트 라이프 2018,20180510,20180513,4,2500,7428,N,내부
1,3,KSPO DOME(체조경기장),제1체육관,체육행사,2011 sk텔레콤 국제그랑프리 펜싱선수권대회,20110518,20110523,6,4000,1300,,내부
1,9,올림픽홀,올림픽홀,대중공연,2013 FT 아일랜드 콘서트,20130926,20130929,4,5400,3600,,내부
1,5,핸드볼경기장,핸드볼경기장,체육행사,제14회 한국체육대학교총장배 전국태권도대회,20180521,20180523,3,1000,2500,N,내부
1,9,올림픽홀,올림픽홀,문화예술행사,2018 Good News Corps Festival,20180217,20180218,2,3000,3040,N,내부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,Flume 첫 내한공연,20180506,20180507,2,3700,,N,내부
1,7,우리금융아트홀,제3체육관,대중공연,오페라 성냥소녀,20180316,20180317,2,800,688,N,내부
1,9,올림픽홀,올림픽홀,대중공연,인순이 데뷔 40주년 기념 전국투어 콘서트 - 서울,20180316,20180317,2,2300,,N,내부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,2018중국문화대축제,20180204,20180209,6,15000,,N,내부
1,5,핸드볼경기장,핸드볼경기장,체육행사,2017년도 회장배 전국 댄스스포츠 포메이션 대회,20170902,20170902,2,1000,,N,내부
1,8,K-아트홀,K-아트홀,대중공연,이승환의 다른 사람 (가제),20170912,20170917,5,384,1864,N,내부
1,7,우리금융아트홀,제3체육관,대중공연,캐리와장난감친구들,20171114,20171120,7,4000,5654,N,내부
1,2,핸드볼보조경기장,핸드볼보조경기장,체육행사,핸드볼보조경기장 7월 팀훈련,20170701,20170731,31,,470,N,내부
1,37,기타,기타,공공행사,서울어린이 더불어 큰 숲 놀이 한마당,20171018,20171018,1,0,,N,외부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,nepathya concert,20171004,20171004,1,4100,,,내부
1,9,올림픽홀,올림픽홀,대중공연,대한민국 노래교실 회원의 날,20171106,20171106,1,2400,2500,N,내부
1,8,K-아트홀,K-아트홀,문화예술행사,굿파이터즈 자선 스포츠 대회,20171112,20171112,1,400,300,N,내부
1,7,우리금융아트홀 연습실,,문화예술행사,얼렁뚱땅 색깔공장(8월),20170801,20170831,,43820,3000,Y,내부
1,10,뮤즈라이브,뮤즈라이브,문화예술행사,벅스TV vol.33 - 슈가볼,20170922,20170922,1,240,195,N,내부
1,10,뮤즈라이브,뮤즈라이브,문화예술행사,제7회 전국학교예술교육페스티벌,20171016,20171019,4,200,800,N,내부
1,7,우리금융아트홀,제3체육관,문화예술행사,제7회 전국학교예술교육페스티벌,20171016,20171019,4,650,1500,N,내부
1,21,88잔디마당,88잔디마당,문화예술행사,에드 시런 내한공연 2017(Ed Sheeran Live in Seoul 2017),20171025,20171030,6,10200,,N,외부
1,9,올림픽홀,올림픽홀,대중공연,프로듀스101 시즌2 콘서트,20170628,20170628,1,2800,,N,내부
1,2,핸드볼보조경기장,핸드볼보조경기장,체육행사,핸드볼 5월 팀 훈련,20170501,20170531,,350,340,N,내부
1,21,88잔디마당,88잔디마당,문화예술행사,제11회 서울재즈페스티벌(Seoul Jazz Festival) 2017,20170521,20170529,9,23000,26545,N,외부
1,2,핸드볼보조경기장,핸드볼보조경기장,체육행사,핸드볼보조경기장 6월 팀훈련,20170601,20170630,16,,540,N,내부
1,9,올림픽홀,올림픽홀,대중공연,CBS 창사63주년 기념콘서트 <Thank You>,20171207,20171208,2,2954,,N,내부
1,8,K-아트홀,K-아트홀,문화예술행사,상주단체<청춘예찬>공연,20171030,20171105,7,1500,1253,N,내부
