,DK_SS,DK_NAME,EVENT_GUBUN,EVENT_NAME,RENT_START_YMD,JS_PERSON,end_day
504,9,올림픽홀,문화예술행사,2020 에이핑크 콘서트,20200201,3896.0,Sat
505,9,올림픽홀,문화예술행사,THE STATION 콘서트,20190629,5292.0,Sat
506,3,KSPO DOME(체조경기장),문화예술행사,2019 WINNER CONCERT ,20191026,13557.0,Sat
507,9,올림픽홀,문화예술행사,Stray Kids UNVEIL,20181019,1742.0,Fri
508,8,K-아트홀,순수예술공연,땀띠와 함께 가요,20180706,198.0,Fri
509,5,핸드볼경기장,문화예술행사,BRANDNEW YEAR 2018(브랜뉴이어 2018),20181130,3351.0,Fri
510,9,올림픽홀,대중공연,LANY 내한공연,20190807,3230.0,Wed
511,5,핸드볼경기장,공공행사,2017스포츠산업JOBFAIR,20170927,7600.0,Wed
512,10,뮤즈라이브,문화예술행사,3인3색 콘서트,20191117,150.0,Sun
513,8,K-아트홀,대중공연,인생공격5,20190127,100.0,Sun
514,9,올림픽홀,대중공연,Tom Misch Live In Seoul,20190530,2861.0,Thu
515,3,KSPO DOME(체조경기장),문화예술행사,2018 밥 딜런 내한공연,20180724,3837.0,Tue
516,10,뮤즈라이브,문화예술행사,박학기 콘서트 '계절학기',20171021,180.0,Sat
517,9,올림픽홀,대중공연,용준형 솔로 콘서트,20190130,5606.0,Wed
518,37,기타,공공행사,학부모참여수업,20171014,100.0,Sat
519,21,88잔디마당,문화예술행사,그랜드 민트 페스티벌 2019 (GMF 2019),20191014,19029.0,Mon
520,9,올림픽홀,대중공연,빅스 유닛 콘서트,20171115,5400.0,Wed
521,5,핸드볼경기장,문화예술행사,프로듀스101 시즌2 TOP11 콘서트,20171211,30305.0,Mon
522,10,뮤즈라이브,문화예술행사,오하영 팬미팅,20190720,224.0,Sat
523,3,KSPO DOME(체조경기장),문화예술행사,2019 션 멘데스 & 더 월드 오브 한스 짐머 내한공연,20190923,22153.0,Mon
524,9,올림픽홀,문화예술행사,2021 에픽하이 콘서트,20211215,4950.0,Wed
